,index_x,page,country,rev_id,article_quality_estimate,index_y,FIPS,Name,Type,TimeFrame,Data (M),Population
9384,2240.0,Joaquín de San Martín,Salvadoran,710828020,Start,,,,,,,
9385,2911.0,José Félix Quirós,Salvadoran,714256648,Stub,,,,,,,
9386,4000.0,Edgardo Carlos Suárez Mallagray,Salvadoran,717903674,Stub,,,,,,,
9387,4671.0,Aníbal Portillo,Salvadoran,720419598,Stub,,,,,,,
9388,4687.0,José Francisco Valiente,Salvadoran,720478176,Stub,,,,,,,
9389,4725.0,Diego de Holguín,Salvadoran,720623176,Stub,,,,,,,
9390,4726.0,Sigfrido Reyes Morales,Salvadoran,720633452,Start,,,,,,,
9391,5458.0,Manuel Enrique Araujo,Salvadoran,723277343,Start,,,,,,,
9392,6947.0,Joaquín Eufrasio Guzmán,Salvadoran,730854147,Stub,,,,,,,
9393,6949.0,Francisco Malespín,Salvadoran,730864227,Stub,,,,,,,
9394,7348.0,Rodrigo Ávila,Salvadoran,733791467,Start,,,,,,,
9395,7648.0,Mario Aguiñada Carranza,Salvadoran,736491718,Start,,,,,,,
9396,8145.0,David Rodríguez Rivera,Salvadoran,738362225,Start,,,,,,,
9397,8571.0,Carlos Ezeta,Salvadoran,741190933,Stub,,,,,,,
9398,8739.0,Andrés Ignacio Menéndez,Salvadoran,742279612,Stub,,,,,,,
9399,8865.0,Gerardo Barrios,Salvadoran,743252984,Start,,,,,,,
9400,9854.0,Rubén Zamora,Salvadoran,748418081,Start,,,,,,,
9401,10342.0,Antonio José Cañas,Salvadoran,749973666,Start,,,,,,,
9402,10344.0,José Atilio Benítez Parada,Salvadoran,749976455,Stub,,,,,,,
9403,13024.0,Violeta Menjívar,Salvadoran,757618572,Start,,,,,,,
9404,13294.0,Santiago González (politician),Salvadoran,757977772,Stub,,,,,,,
9405,13330.0,Rosa Amelia Guzmán,Salvadoran,758287489,Start,,,,,,,
9406,13332.0,Gloria Salguero Gross,Salvadoran,758288293,C,,,,,,,
9407,14832.0,David Joaquín Guzmán,Salvadoran,765528693,Start,,,,,,,
9408,15109.0,Francisco Gómez (El Salvador President),Salvadoran,766757526,Start,,,,,,,
9409,15861.0,Francisco Dueñas,Salvadoran,769575358,Stub,,,,,,,
9410,16093.0,Rafael Zaldívar,Salvadoran,770682721,Start,,,,,,,
9411,17343.0,Óscar Ortiz (El Salvador),Salvadoran,774857245,Stub,,,,,,,
9412,18147.0,José Damián Villacorta,Salvadoran,777601256,Start,,,,,,,
9413,18149.0,José Escolástico Marín,Salvadoran,777602660,Stub,,,,,,,
9414,18163.0,José María Cornejo,Salvadoran,777612972,Start,,,,,,,
9415,18164.0,José María Peralta Lagos,Salvadoran,777613551,Stub,,,,,,,
9416,18165.0,José María San Martín,Salvadoran,777613737,Start,,,,,,,
9417,18166.0,José María Silva,Salvadoran,777613786,Start,,,,,,,
9418,18215.0,Juan Manuel Rodríguez,Salvadoran,777685186,Start,,,,,,,
9419,18223.0,Juan Vicente Villacorta Díaz,Salvadoran,777698313,Start,,,,,,,
9420,18477.0,Juan José Daboub,Salvadoran,778564487,C,,,,,,,
